,台北市南港區中坡南路47號1樓,台北市南港區研究院路二段128號1樓(學術活動中心),台北市南港區經貿二路186號2樓,台北市南港區西新里南港路三段3號1樓,台北市南港區玉成街150號1樓,台北市南港區向陽路166號1樓,台北市南港區研究院路二段152號,台北市南港區南港路一段303號305號307號1樓,台北市南港區忠孝東路六段465號1樓,台北市南港區忠孝東路六段448號,台北市南港區東新街80巷1號,台北市南港區研究院路二段14號,台北市南港區研究院路二段94號96號98巷1號,台北市南港區重陽路179號181號1樓,台北市南港區南港路一段167號1樓,台北市南港區八德路四段778號780號,台北市南港區忠孝東路七段359號1樓,台北市南港區南港路一段313號B2,台北市南港區經貿二路1號,台北市南港區經貿二路2號B1樓,台北市南港區玉成街69號1樓,台北市南港區福德街373巷25號,台北市南港區興華路119號121號123號125號,台北市南港區忠孝東路七段371號B2,台北市南港區忠孝東路七段369號2樓,台北市南港區研究院路三段72號74號1樓,台北市南港區忠孝東路六段276號,台北市南港區重陽路164號,台北市南港區成福路145號147號,台北市南港區三重路19號1樓,台北市南港區聯成里昆陽街150-1號150-3號,台北市南港區東新街118巷1號,台北市南港區三重路23號1樓,台北市南港區南港路三段49-1號,台北市南港區研究院路一段99號1樓之14,台北市南港區經貿二路168號4樓
台北市南港區中坡南路47號1樓,0.0,580.0,480.0,250.0,350.0,290.0,580.0,340.0,170.0,170.0,650.0,509.99999999999994,530.0,280.0,430.0,150.0,290.0,330.0,470.0,409.99999999999994,850.0,100.0,340.0,310.0,280.0,640.0,120.0,300.0,500.0,400.0,190.0,650.0,450.0,200.0,409.99999999999994,459.99999999999994
台北市南港區研究院路二段128號1樓(學術活動中心),550.0,0.0,250.0,440.00000000000006,530.0,480.0,130.0,280.0,400.0,380.0,490.00000000000006,100.0,650.0,390.0,220.00000000000003,550.0,280.0,260.0,240.0,200.0,520.0,540.0,310.0,290.0,300.0,190.0,440.00000000000006,370.0,580.0,240.0,390.0,480.0,270.0,459.99999999999994,190.0,240.0
台北市南港區經貿二路186號2樓,590.0,300.0,0.0,270.0,560.0,300.0,290.0,130.0,300.0,300.0,409.99999999999994,229.99999999999997,250.0,190.0,750.0,490.00000000000006,190.0,150.0,450.0,400.0,420.0,459.99999999999994,140.0,200.0,210.0,360.0,360.0,170.0,500.0,650.0,310.0,400.0,250.0,300.0,900.0,130.0
台北市南港區西新里南港路三段3號1樓,220.00000000000003,459.99999999999994,310.0,0.0,200.0,400.0,450.0,160.0,450.0,500.0,190.0,390.0,409.99999999999994,750.0,229.99999999999997,130.0,170.0,180.0,320.0,240.0,160.0,240.0,160.0,190.0,160.0,520.0,900.0,950.0,229.99999999999997,220.00000000000003,650.0,180.0,250.0,260.0,290.0,300.0
台北市南港區玉成街150號1樓,350.0,550.0,450.0,229.99999999999997,0.0,270.0,550.0,320.0,150.0,150.0,400.0,490.00000000000006,500.0,250.0,409.99999999999994,850.0,270.0,300.0,440.00000000000006,390.0,550.0,120.0,320.0,280.0,250.0,610.0,900.0,280.0,650.0,380.0,140.0,500.0,420.0,180.0,380.0,440.00000000000006
台北市南港區向陽路166號1樓,240.0,450.0,300.0,400.0,220.00000000000003,0.0,440.00000000000006,150.0,850.0,850.0,180.0,380.0,400.0,550.0,280.0,170.0,160.0,170.0,300.0,229.99999999999997,200.0,229.99999999999997,140.0,180.0,150.0,500.0,130.0,750.0,270.0,229.99999999999997,950.0,170.0,229.99999999999997,650.0,280.0,280.0
台北市南港區研究院路二段152號,560.0,130.0,260.0,440.00000000000006,530.0,480.0,0.0,290.0,409.99999999999994,390.0,500.0,110.00000000000001,750.0,400.0,229.99999999999997,560.0,280.0,270.0,250.0,200.0,530.0,550.0,320.0,300.0,310.0,600.0,440.00000000000006,380.0,590.0,240.0,400.0,490.00000000000006,280.0,470.0,200.0,240.0
台北市南港區南港路一段303號305號307號1樓,340.0,290.0,150.0,160.0,310.0,229.99999999999997,290.0,0.0,170.0,170.0,270.0,229.99999999999997,240.0,130.0,600.0,290.0,450.0,200.0,140.0,800.0,290.0,320.0,400.0,300.0,600.0,350.0,220.00000000000003,100.0,360.0,650.0,170.0,260.0,110.00000000000001,190.0,120.0,130.0
台北市南港區忠孝東路六段465號1樓,200.0,409.99999999999994,300.0,450.0,180.0,850.0,400.0,170.0,0.0,26.0,150.0,340.0,360.0,110.00000000000001,260.0,190.0,120.0,160.0,300.0,240.0,170.0,200.0,170.0,140.0,110.00000000000001,470.0,550.0,130.0,210.0,229.99999999999997,190.0,100.0,280.0,750.0,240.0,290.0
台北市南港區忠孝東路六段448號,170.0,470.0,360.0,500.0,140.0,850.0,459.99999999999994,229.99999999999997,26.0,0.0,130.0,400.0,420.0,170.0,320.0,170.0,180.0,220.00000000000003,350.0,300.0,140.0,229.99999999999997,229.99999999999997,190.0,170.0,520.0,500.0,190.0,180.0,290.0,160.0,900.0,330.0,750.0,300.0,350.0
台北市南港區東新街80巷1號,650.0,520.0,420.0,190.0,400.0,229.99999999999997,520.0,280.0,180.0,120.0,0.0,459.99999999999994,470.0,220.00000000000003,370.0,110.00000000000001,240.0,270.0,409.99999999999994,360.0,800.0,170.0,290.0,250.0,220.00000000000003,580.0,550.0,240.0,600.0,340.0,100.0,160.0,390.0,220.00000000000003,350.0,400.0
台北市南港區研究院路二段14號,450.0,100.0,140.0,330.0,420.0,370.0,120.0,180.0,300.0,280.0,390.0,0.0,400.0,290.0,120.0,450.0,170.0,160.0,140.0,900.0,420.0,440.00000000000006,210.0,180.0,190.0,180.0,330.0,260.0,480.0,130.0,290.0,370.0,170.0,360.0,550.0,130.0
台北市南港區研究院路二段94號96號98巷1號,490.00000000000006,650.0,180.0,370.0,459.99999999999994,409.99999999999994,750.0,220.00000000000003,340.0,320.0,430.0,400.0,0.0,330.0,160.0,480.0,210.0,200.0,170.0,130.0,459.99999999999994,480.0,240.0,220.00000000000003,229.99999999999997,220.00000000000003,370.0,300.0,520.0,170.0,320.0,409.99999999999994,210.0,390.0,130.0,170.0
台北市南港區重陽路179號181號1樓,280.0,420.0,229.99999999999997,750.0,250.0,550.0,420.0,130.0,110.00000000000001,110.00000000000001,220.00000000000003,360.0,370.0,0.0,220.00000000000003,210.0,200.0,140.0,240.0,210.0,229.99999999999997,270.0,850.0,210.0,120.0,480.0,160.0,230.0,310.0,180.0,120.0,210.0,170.0,100.0,250.0,260.0
台北市南港區南港路一段167號1樓,390.0,240.0,750.0,220.00000000000003,370.0,290.0,240.0,600.0,229.99999999999997,220.00000000000003,330.0,180.0,190.0,180.0,0.0,350.0,100.0,750.0,500.0,450.0,350.0,380.0,100.0,850.0,140.0,300.0,280.0,160.0,420.0,150.0,229.99999999999997,320.0,550.0,240.0,650.0,800.0
台北市南港區八德路四段778號780號,100.0,570.0,450.0,130.0,850.0,200.0,570.0,290.0,160.0,160.0,130.0,509.99999999999994,520.0,200.0,400.0,0.0,290.0,320.0,480.0,390.0,350.0,210.0,280.0,300.0,270.0,630.0,120.0,220.00000000000003,160.0,420.0,180.0,140.0,409.99999999999994,100.0,400.0,440.00000000000006
台北市南港區忠孝東路七段359號1樓,330.0,280.0,180.0,210.0,300.0,260.0,280.0,450.0,180.0,160.0,270.0,220.00000000000003,229.99999999999997,170.0,100.0,320.0,0.0,350.0,170.0,120.0,300.0,320.0,650.0,120.0,160.0,340.0,210.0,100.0,360.0,110.00000000000001,170.0,260.0,150.0,240.0,110.00000000000001,170.0
台北市南港區南港路一段313號B2,310.0,320.0,180.0,180.0,290.0,220.00000000000003,320.0,200.0,150.0,150.0,250.0,260.0,270.0,130.0,750.0,290.0,350.0,0.0,180.0,120.0,270.0,300.0,450.0,220.0,400.0,380.0,200.0,110.00000000000001,340.0,800.0,150.0,240.0,140.0,210.0,150.0,170.0
